#V1,#temp,#u10,#v10
2019-01-01 01:00:01,13.2455,-3.12392243988392,-8.58290636370864
2019-01-01 02:00:01,12.9455,-3.57515568120049,-9.82265950513323
2019-01-01 03:00:01,12.6455,-3.71399667852866,-10.2041220101869
2019-01-01 04:00:01,12.6455,-1.79753125472426,-10.1943063251123
2019-01-01 05:00:01,12.7455,-1.84562453144471e-15,-10.0471119930509
2019-01-01 06:00:01,13.1455,1.638925555778,-9.29480870819066
2019-01-01 07:00:01,13.1455,5.48024290530048,-9.4920591497993
2019-01-01 08:00:01,12.9455,3.22805318788004,-8.86900324249894
2019-01-01 09:00:01,13.1455,3.40160443454026,-9.34583137381608
2019-01-01 10:00:01,13.2455,3.57515568120047,-9.82265950513323
2019-01-01 11:00:01,12.4455,6.34287373298667,-10.986179571527
2019-01-01 12:00:01,12.3455,7.05327559108117,-12.216631683538
2019-01-01 13:00:01,11.2455,7.05327559108117,-12.216631683538
2019-01-01 14:00:01,11.5455,7.45921950999232,-12.9197471761157
2019-01-01 15:00:01,11.4455,8.06813538835904,-13.9744204149823
2019-01-01 16:00:01,9.9455,10.5678967127991,-12.5943288736429
2019-01-01 17:00:01,9.5455,8.11887837822293,-14.0623098515545
2019-01-01 18:00:01,10.1455,10.6331306431251,-12.6720716444679
2019-01-01 19:00:01,10.9455,13.7604704360172,-11.5464056676879
2019-01-01 20:00:01,11.1455,13.6827276651923,-11.481171737362
2019-01-01 21:00:01,11.2455,12.6720716444679,-10.6331306431251
2019-01-01 22:00:01,11.3455,12.1278722486932,-10.1764931308436
2019-01-01 23:00:01,11.3455,11.1172162279687,-9.32845203660665
2019-01-02 00:00:01,11.3455,12.8318577395435,-7.40847652012843
2019-01-02 01:00:01,11.1455,12.3924105566824,-7.15476157080896
2019-01-02 02:00:01,10.9455,11.3377373178158,-6.54584569244224
2019-01-02 03:00:01,10.8455,10.1065602072443,-8.48041094236968
2019-01-02 04:00:01,10.6455,11.3377373178158,-6.54584569244224
2019-01-02 05:00:01,10.1455,11.3377373178158,-6.54584569244224
2019-01-02 06:00:01,10.2455,9.4920591497993,-5.48024290530048
2019-01-02 07:00:01,9.9455,7.29482323549391,-4.21166815870315
2019-01-02 08:00:01,9.8455,7.73427041835499,-4.46538310802262
2019-01-02 09:00:01,10.0455,6.41592886977175,-3.70423826006422
2019-01-02 10:00:01,10.0455,5.13102287444711,-4.30543940151076
2019-01-02 11:00:01,10.1455,5.36125563090516,-3.09532238169749
2019-01-02 12:00:01,10.1455,6.41592886977175,-3.70423826006422
2019-01-02 13:00:01,9.9455,5.97648168691067,-3.45052331074475
2019-01-02 14:00:01,9.4455,7.03115492577726,-4.05943918911147
2019-01-02 15:00:01,9.4455,6.76748661606061,-3.90721021951979
2019-01-02 16:00:01,9.4455,7.47060210863834,-4.31315413843094
2019-01-02 17:00:01,8.9455,5.71281337719402,-3.29829434115307
2019-01-02 18:00:01,8.5455,4.74602957489965,-2.74012145265024
2019-01-02 19:00:01,8.9455,4.39447182861079,-2.53714949319467
2019-01-02 20:00:01,8.6455,4.21869295546636,-2.43566351346688
2019-01-02 21:00:01,8.1455,2.08748577042946,-2.4877686663986
2019-01-02 22:00:01,7.3455,0.475817096838775,-2.69849285076503
2019-01-02 23:00:01,7.8455,0.458194241400302,-2.59854867110707
2019-01-03 00:00:01,8.0455,0.66966850666198,-3.79787882700263
2019-01-03 01:00:01,9.1455,3.52263223759971,-4.19810962454764
2019-01-03 02:00:01,8.7455,4.57025070175522,-2.63863547292245
2019-01-03 03:00:01,7.3455,2.79873974969842,-2.34842149173314
2019-01-03 04:00:01,8.6455,2.08748577042946,-2.4877686663986
2019-01-03 05:00:01,9.5455,3.13122865564419,-3.7316529995979
2019-01-03 06:00:01,9.3455,2.43566351346688,-4.21869295546636
2019-01-03 07:00:01,9.6455,3.71833402857747,-4.4313379370225
2019-01-03 08:00:01,9.4455,4.89779456197224,-4.109737610533
2019-01-03 09:00:01,9.5455,6.59170774291618,-3.805724239792
2019-01-03 10:00:01,9.3455,3.42768802631641,-1.97897660469184
2019-01-03 11:00:01,9.1455,2.09905481227382,-1.76131611879986
2019-01-03 12:00:01,8.9455,1.84567816801653,-1.06560278714176
2019-01-03 13:00:01,8.7455,1.78808372897399,-1.50038039749617
2019-01-03 14:00:01,8.4455,2.80505900401458,-3.34293914547312
2019-01-03 15:00:01,8.3455,3.7316529995979,-3.13122865564419
2019-01-03 16:00:01,8.2455,4.83391901147187,-2.79086444251414
2019-01-03 17:00:01,8.3455,4.57025070175522,-2.63863547292245
2019-01-03 18:00:01,8.4455,3.88713854124781,-3.26169651629603
2019-01-03 19:00:01,8.1455,2.60935721303682,-3.10971083299825
2019-01-03 20:00:01,8.3455,1.18014847728948,-3.2424312929566
2019-01-03 21:00:01,9.0455,1.21485872662152,-3.33779691922003
2019-01-03 22:00:01,9.1455,0.634422795785033,-3.59799046768671
2019-01-03 23:00:01,8.9455,-0.634422795785035,-3.59799046768671
2019-01-04 00:00:01,10.3455,0.757782783854345,-4.29759972529245
2019-01-04 01:00:01,10.6455,0.828274205608238,-4.69737644392431
2019-01-04 02:00:01,10.2455,2.99383640196971,-5.18547675776073
2019-01-04 03:00:01,9.9455,2.36029695457895,-6.4848625859132
2019-01-04 04:00:01,9.9455,2.46442770257508,-6.77095946470349
2019-01-04 05:00:01,10.1455,2.53384820123917,-6.96169071723035
2019-01-04 06:00:01,10.2455,4.61761207761429,-7.99793872807163
2019-01-04 07:00:01,10.5455,4.71909805734208,-8.17371760121607
